url,listing_id,brand,model,version,mileage,year,transmission,drivetrain,fuel_type,horsepower_cv,location,seller,price_rating,price,listing_date,car_condition,previous_owners,body_type,exterior_color,interior_color,upholstery,seats,doors,engine,power_ch,cylinder_capacity
https://www.automobile.tn/fr/occasion/foton/tunland/120974,120974,Foton,Tunland,Cabine,50000,2019,Manuelle,Propulsion,Diesel,9,Béja,Individual,Prix élevé,48000,02.12.2025,Très bon,1ère main,Pick up,Blanc,Gris,Tissu,2,2,01/2019 - Aujourd'hui,N/A,N/A
https://www.automobile.tn/fr/occasion/peugeot/partner-tepee/120973,120973,Peugeot,Partner Tepee,TepeeBlanc,315000,2011,Manuelle,Traction,Diesel,5,Nabeul,Individual,Aucune évaluation,36200,01.12.2025,Normal,2ème main,Monospace,Blanc,Noir,Tissu,5,4,(B9) Tepee05/2008 - 04/2015,N/A,N/A
https://www.automobile.tn/fr/occasion/great-wall/poer/120971,120971,Great Wall,Poer,MT,23500,2021,Manuelle,Intégrale,Diesel,11,Nabeul,Individual,Prix équitable,94000,01.12.2025,Très bon,1ère main,Pick up,Bleu,Marron,Similicuir,5,4,01/2021 - Aujourd'hui,N/A,N/A
https://www.automobile.tn/fr/occasion/citroen/c3/120970,120970,Citroen,C3,N/A,200000,2004,Manuelle,Traction,Essence,4,Mahdia,Individual,Prix équitable,19500,01.12.2025,Normal,3 et +,Citadine,Rouge,Gris,Similicuir,5,5,I (FC/FN)04/2002 - 10/2005,N/A,N/A
https://www.automobile.tn/fr/occasion/volkswagen/t-roc/120966,120966,Volkswagen,T Roc,N/A,48000,2023,Manuelle,Traction,Essence,6,Sousse,Individual,Bon prix,95000,01.12.2025,Très bon,1ère main,SUV,Noir,Noir,Tissu,5,5,Phase 212/2021 - Aujourd'hui,N/A,N/A
https://www.automobile.tn/fr/occasion/hyundai/grand-i10/120965,120965,Hyundai,Grand I10,i10GLS HG,121000,2015,Manuelle,Traction,Essence,5,Ariana,Individual,Prix équitable,35000,01.12.2025,Très bon,2ème main,Citadine,Gris argent,Autre,Tissu,5,5,I01/2014 - 10/2020,N/A,N/A
https://www.automobile.tn/fr/occasion/seat/ibiza/120423,120423,Seat,Ibiza,Plus,39000,2023,Automatique,Traction,Essence,6,Nabeul,Individual,Bon prix,68000,01.12.2025,Très bon,1ère main,Citadine,Blanc,Noir,Alcantara,5,5,V Phase 207/2021 - Aujourd'hui,N/A,N/A
https://www.automobile.tn/fr/occasion/seat/ibiza/118594,118594,Seat,Ibiza,N/A,127400,2020,Manuelle,Traction,Essence,6,Ariana,Individual,Prix équitable,59000,01.12.2025,Très bon,1ère main,Citadine,Blanc,Gris,Tissu,5,5,V02/2017 - 06/2021,N/A,N/A
https://www.automobile.tn/fr/occasion/kia/seltos/118593,118593,Kia,Seltos,N/A,72500,2022,Automatique,Traction,Essence,8,Ariana,Individual,Prix équitable,88500,01.12.2025,Très bon,1ère main,SUV,Gris anthracite,Gris,Tissu,5,5,Phase 111/2020 - 12/2024,N/A,N/A
https://www.automobile.tn/fr/occasion/mahindra/scorpio-pick-up-dc/120960,120960,Mahindra,Scorpio Pick Up Dc,Pick-up DC,1000,2014,Manuelle,Intégrale,Diesel,8,Sousse,Individual,Aucune évaluation,10000,01.12.2025,En panne / Accidenté,1ère main,Pick up,Marron,Marron,Tissu,5,4,N/A,N/A,N/A
https://www.automobile.tn/fr/occasion/peugeot/208/119964,119964,Peugeot,208,N/A,116000,2019,Manuelle,Traction,Essence,4,Ariana,Individual,Bon prix,27000,01.12.2025,Très bon,1ère main,Citadine,Noir,Noir,Tissu,5,5,I Phase 2 5 Portes04/2015 - 10/2019,N/A,N/A
